CD_MUNICIPIO,NM_MUNICIPIO,LATITUDE,LONGITUDE
88650,SÃO FRANCISCO DE ASSIS,-29.559214,-55.1209843
88676,SÃO FRANCISCO DE PAULA,-29.448454,-50.5833027
88692,SÃO GABRIEL,-30.334214,-54.3227149
88714,SÃO JERÔNIMO,-29.959642,-51.7238192
84794,SÃO JORGE,-28.5006499,-51.7050503
87769,SÃO JOSÉ DAS MISSÕES,-27.7783652,-53.1185847
85588,SÃO JOSÉ DO HERVAL,-29.0448214,-52.2948783
85324,SÃO JOSÉ DO HORTÊNCIO,-29.5305383,-51.2503032
87742,SÃO JOSÉ DO INHACORÁ,-27.725055,-54.127462
88757,SÃO JOSÉ DO OURO,-27.7736185,-51.5947672
89460,SÃO JOSÉ DO SUL,-29.537476,-51.4828905
87726,SÃO JOSÉ DOS AUSENTES,-28.747731,-50.0645582
84859,SÃO JOÃO DA URTIGA,-27.8162722,-51.8297741
87700,SÃO JOÃO DO POLÊSINE,-29.6156424,-53.4455412
88773,SÃO LEOPOLDO,-29.7544405,-51.1516497
88811,SÃO LUIZ GONZAGA,-28.4074546,-54.9609081
88838,SÃO MARCOS,-28.9706799,-51.0687665
88854,SÃO MARTINHO,-27.7079086,-53.9623041
87785,SÃO MARTINHO DA SERRA,-29.5380766,-53.8544925
85480,SÃO MIGUEL DAS MISSÕES,-28.5451471,-54.5469209
88870,SÃO NICOLAU,-28.1857386,-55.2615035
88897,SÃO PAULO DAS MISSÕES,-28.0225895,-54.936466
87807,SÃO PEDRO DA SERRA,-29.4195585,-51.5142114
89486,SÃO PEDRO DAS MISSÕES,-27.7729041,-53.2478857
87823,SÃO PEDRO DO BUTIÁ,-28.1241467,-54.8914661
88919,SÃO PEDRO DO SUL,-29.6152729,-54.1790311
88935,SÃO SEBASTIÃO DO CAÍ,-29.5911777,-51.3778772
88951,SÃO SEPÉ,-30.167219,-53.5690914
88978,SÃO VALENTIM,-27.5588628,-52.5241756
87840,SÃO VALENTIM DO SUL,-29.0503352,-51.7675031
87866,SÃO VALÉRIO DO SUL,-27.7881823,-53.9348211
85383,SÃO VENDELINO,-29.3684935,-51.3790426
86754,SÃO VICENTE DO SUL,-29.688161,-54.682643
87904,SÉRIO,-29.3844988,-52.2685744
88722,TABAÍ,-29.6877843,-51.7180847
89214,TAPEJARA,-28.069233,-52.0117161
89230,TAPERA,-28.6262957,-52.8680873
89257,TAPES,-30.6747721,-51.3986199
89273,TAQUARA,-29.6452036,-50.7832169
89290,TAQUARI,-29.7942136,-51.8647988
85669,TAQUARUÇU DO SUL,-27.4003987,-53.4684102
89710,TAVARES,-31.287471,-51.0897986
89311,TENENTE PORTELA,-27.371058,-53.758484
85162,TERRA DE AREIA,-29.5789455,-50.06336
98213,TEUTÔNIA,-29.4816568,-51.813752
89508,TIO HUGO,-28.5768433,-52.5969066
87963,TIRADENTES DO SUL,-27.3973624,-54.0853785
88900,TOROPI,-29.478246,-54.224398
89338,TORRES,-29.3373663,-49.7299648
89354,TRAMANDAÍ,-29.9855339,-50.1316076
87980,TRAVESSEIRO,-29.2977561,-52.0562096
85006,TRINDADE DO SUL,-27.5218951,-52.8986017
89435,TRIUNFO,-29.9407972,-51.7191859
84743,TRÊS ARROIOS,-27.4995057,-52.149354
85367,TRÊS CACHOEIRAS,-29.4521243,-49.9190608
89370,TRÊS COROAS,-29.5155023,-50.7770635
89397,TRÊS DE MAIO,-27.7799415,-54.2356626
88005,TRÊS FORQUILHAS,-29.5375482,-50.0650535
86142,TRÊS PALMEIRAS,-27.6166217,-52.8412626
89419,TRÊS PASSOS,-27.4556106,-53.9294399
89451,TUCUNDUVA,-27.6581837,-54.4416605
84840,TUNAS,-29.1053032,-52.9569329
88021,TUPANCI DO SUL,-27.9239665,-51.5377991
89478,TUPANCIRETÃ,-29.0798756,-53.8386668
85723,TUPANDI,-29.4779269,-51.4209232
89494,TUPARENDI,-27.7622992,-54.4829323
88609,UBIRETAMA,-28.0455687,-54.68158
88480,UNISTALDA,-29.0476115,-55.1503792
88048,UNIÃO DA SERRA,-28.7531756,-52.0152854
89516,URUGUAIANA,-29.7560726,-57.0867546
88064,VALE DO SOL,-29.6036459,-52.6867334
88080,VALE REAL,-29.391944,-51.255859
88668,VALE VERDE,-29.7830651,-52.1843582
84913,VANINI,-28.4762692,-51.8452978
89559,VENÂNCIO AIRES,-29.614306,-52.193159
89575,VERA CRUZ,-29.7157235,-52.5007403
89591,VERANÓPOLIS,-28.9351239,-51.5519175
88781,VESPASIANO CORRÊA,-29.0689663,-51.8597913
89613,VIADUTOS,-27.5706489,-52.0210682
89630,VIAMÃO,-30.0819338,-51.0261927
89656,VICENTE DUTRA,-27.1669307,-53.4048541
89699,VICTOR GRAEFF,-28.563163,-52.749535
86061,VILA FLORES,-28.8644244,-51.5506499
88749,VILA LÂNGARO,-28.1073953,-52.1446254
85642,VILA MARIA,-28.53429,-52.1548439
88102,VILA NOVA DO SUL,-30.343232,-53.8833913
85600,VISTA ALEGRE,-27.368619,-53.491876
85863,VISTA ALEGRE DO PRATA,-28.8080826,-51.7868557
85847,VISTA GAÚCHA,-27.2897171,-53.7024746
88129,VITÓRIA DAS MISSÕES,-28.3525794,-54.4995706
89524,WESTFALIA,-29.4221238,-51.7655231
88145,XANGRI-LÁ,-29.8039422,-50.0413748
84948,ÁGUA SANTA,-28.1775297,-52.0360304
84735,ÁUREA,-27.6970921,-52.0521778
